DATE,COMNAM,NCUSIP,PERMNO
19870508,A & W BRANDS INC,20910,11307
20010406,A B B LTD,37520,88953
19940519,A B C BANCORP,40010,80498
19940526,A B R INFORMATION SERVICES INC,00077R10,80499
19820118,A B S INDUSTRIES INC,78110,10074
19930630,A B T BUILDING PRODUCTS CORP,78210,79245
19870119,A C C CORP,79410,85017
19960517,A C C CONSUMER FINANCE CORP,00079H10,83465
20050509,A B X AIR INC,00080S10,90716
20080102,A B X HOLDINGS INC,00080S10,90716
19971009,AC MOORE ARTS AND CRAFTS INC,00086T10,85452
19830321,A C S ENTERPRISE INC,87210,10082
19921215,A C S ENTERPRISES,87230,10082
19930309,A C R GROUP INC,00087B10,76276
19980206,ACSYS INC,00087X10,85800
19950214,A D C O TECHNOLOGIES INC,88510,81238
19850408,A D C TELECOMMUNICATIONS INC,88610,50906
20050510,A D C TELECOMMUNICATIONS INC,88630,50906
19900504,A C T V INC,8.80E+11,76290
20010731,A D A M INC,00088U10,82544
19920414,ADESA CORP,89210,77510
19951018,A D E CORP MASS,00089C10,82467
19870821,A C M GOVERNMENT INCOME FUND INC,91210,75105
20010904,A C M INCOME FUND INC,91210,75105
19880928,A D T LTD,91520,11968
19910821,A D T LTD,91530,76805
19880819,A C M GOVT OPPORTUNITY FD INC,91810,75323
19900119,A C M MANAGED MULTI MARKET TRUST,92810,75934
19970521,A B N AMRO HOLDING N V,93710,84766
19930423,A C M MUNICIPAL SECS INC FD INC,94210,79132
19931022,A C M MANAGED DOLLAR INCM FD INC,94910,79765
19931216,A F C CABLE SYSTEMS INC,95010,79934
19940317,A B M INDUSTRIES INC,95710,47730
19950330,A C T MANUFACTURING INC,97310,81470
19950503,A C T NETWORKS INC,97510,81599
19961021,A C I TELECENTRICS INC,98110,84043
19860513,A D T INC,100710,49269
20121001,A D T CORP,00101J10,13567
19761001,A E L INDUSTRIES INC,103010,10154
19860130,A E P INDUSTRIES INC,103110,10025
19961001,A F S A L A BANCORP INC,106110,84048
19950516,A G ASSOCIATES INC,107310,81597
19891010,A G AUTOMOTIVE WAREHOUSES INC,107510,76002
19920416,A G C O CORP,108410,77520
19960307,A G L RESOURCES INC,120410,15553
19910806,AG SERVICES OF AMERICA INC,125010,76774
20080130,A H BELO CORP,128210,92528
19950929,A H I HEALTHCARE SYSTEMS INC,129010,82249
19970327,A H L SERVICES INC,129610,84595
19910626,A E S CORP,00130H10,76712
19990702,A H T CORP,00130R10,84045
19860205,A I F S INC,136610,10029
19811029,A I M TELEPHONES INC,142310,10285
19940330,A K STEEL HOLDING CORP,154710,80303
19851219,A L C COMMUNICATIONS CORP,157510,85033
19910904,A L C COMMUNICATIONS CORP,157530,85033
20120706,ALCO STORES INC,160010,80971
19840215,A L LABS INC,162910,65832
19941004,A L PHARMA INC,162910,65832
19971121,A M B PROPERTY CORP,00163T10,85592
20070725,A M A G PHARMACEUTICALS INC,00163U10,10363
20110701,A M C NETWORKS INC,00164V10,12880
20131218,A M C ENTERTAINMENT HOLDINGS INC,00165C10,14328
19830818,A M C ENTERTAINMENT INC,166910,66413
20010920,A M D L INC,00167K40,89148
20060928,A M D L INC,00167K50,89148
19990714,A M F M INC,169310,79163
20050104,AMICAS INC,171210,85245
19931206,A M INTERNATIONAL INC NEW,172510,80071
19951212,A M L COMMUNICATIONS INC,173310,82667
19940209,A M L I RESIDENTIAL PPTYS TR,173510,80190
19821001,A M R CORP DEL,176510,21020
20010830,A M X CORP,00180C10,82549
20010112,A O L TIME WARNER INC,00184A10,77418
20091210,A O L INC,00184X10,93091
19850829,A P I ENTERPRISES INC,185810,11499
19951011,A P A C CUSTOMER SERVICES INC,1.85E+12,82471
20110627,A P I TECHNOLOGIES CORP,1.87E+22,12881
19811001,A S K COMPUTER SYSTEMS INC,190310,10429
19921127,ASK GROUP INC,190310,10429
19841220,A S T RESEARCH INC,190710,85041
19860626,A S A INTERNATIONAL LTD,191210,10418
19900507,A S A INTERNATIONAL LTD,191220,10418
20030602,A S A INTERNATIONAL LTD,191230,10418
19870929,A R C O CHEMICAL CO,192010,75106
19910416,A N B CORP,192610,76877
19920623,A S R INVESTMENTS CORP,193210,75114
19950710,A S R INVESTMENTS CORP,193220,75114
19930923,A PEA IN THE POD INC,193610,79566
19940421,A T & T CORP,195710,10401
19990310,A T & T CORP,195720,86746
19990310,A T & T CORP,195730,86747
20000427,A T & T CORP,195740,87831
20021119,A T & T CORP,195750,10401
19940811,A S V INC,196310,80798
20071114,A P P PHARMACEUTICALS INC,00202H10,89265
19960603,A P L LTD,00202M10,65111
19951025,A PLUS NETWORK INC,203310,79466
19951018,A R V ASSISTED LIVING INC,00204C10,82474
19830404,A T & E CORP,206210,71239
19880608,A T C ENVIRONMENTAL INC,206710,10011
19961018,A T C GROUP SERVICES INC,206710,10011
19970416,A S I SOLUTIONS INC,00206F10,84720
19930728,A T & T CAPITAL CORP,00206J10,79462
20051121,A T & T INC,00206R10,66093
19951222,A T E C GROUP INC,00206X10,78868
19971119,A T E C GROUP INC,00206X60,78868
19860520,A T I MEDICAL INC,207510,10287
19970307,A T L PRODUCTS INC,00207M10,84598
19970718,A T L ULTRASOUND INC,00207N10,11000
19971014,ATMI INC,00207R10,79799
19920526,A T S MEDICAL INC,208310,76367
19890530,A T S MONEY SYSTEMS INC,208410,75771
20010206,A T P OIL & GAS CORP,00208J10,88906
20010709,A T & T WIRELESS SVCS INC,00209A10,89001
20010329,A T S I COMMUNICATIONS INC,00209G10,87577
20020701,A T A HOLDINGS CORP,00209H10,79149
20020718,A T X COMMUNICATIONS INC,211310,89446
20100105,A T S CORP,2.11E+12,93197
20080603,A T C TECHNOLOGY CORP,00211W10,84291
19980922,A V I BIOPHARMA INC,234610,85002
19950815,A V X CORP NEW,244410,81912
19990907,A X A FINANCIAL INC,245110,77815
20001102,A X S ONE INC,245810,82168
20000814,A Z Z INC,247410,16126
20001130,AAIPHARMA INC,00252W10,83918
19821104,AARON RENTS INC,253510,10517
19921103,AARON RENTS INC,253520,78049
20090420,AARONS INC,253520,78049
19921102,AARON RENTS INC,253530,10517
20090420,AARONS INC,253530,10517
19940926,AASCHE TRANSPORTATION SVCS INC,253810,80919
19960130,AAVID THERMAL TECHNOLOGIES INC,253910,82807
19911203,AAMES FINANCIAL CORP,00253A10,77162
20000414,AAMES FINANCIAL CORP,00253A30,77162
20041102,AAMES INVESTMENT CORP MD,00253G10,90429
19960927,ABACUS DIRECT CORP,255310,83920
19920228,ABBEY HEALTHCARE GROUP INC,278610,77360
19680102,ABBOTT LABORATORIES,282410,20482
20130102,ABBVIE INC,00287Y10,13721
19721214,ABERCROMBIE & FITCH CO,289610,10533
19960926,ABERCROMBIE & FITCH CO,289620,83976
19920717,ABEX INC,338710,77813
19960712,ABIGAIL ADAMS NATL BANCORP INC,339010,83729
19980702,ABGENIX INC,00339B10,86235
19970131,ABINGTON BANCORP INC NEW,00350P10,10341
19870729,ABIOMED INC,365410,75107
19940228,ABLE TELECOM HOLDING CORP,371230,80220
20021119,ABLE LABORATORIES INC,00371N40,89559
20000314,ABLEST INC,00371W10,41444
19990520,ABOUT COM INC,373610,86795
19981210,ABOVENET COMMUNICATIONS INC,374310,86487
20090512,ABOVENET INC,00374N10,92923
19910507,ABRAXAS PETROLEUM CORP,383010,76888
20060419,ABRAXIS BIOSCIENCE INC,3.83E+12,89265
19960708,ACACIA RESEARCH CORP,388110,83730
20021216,ACACIA RESEARCH CORP,388120,89613
20021216,ACACIA RESEARCH CORP,388130,89611
19740522,ACADEMY INSURANCE GROUP INC,400910,10576
20111101,ACADIA HEALTHCARE CO INC,00404A10,13105
19960716,ACADIANA BANCSHARES INC LA NEW,428010,83717
19961119,ACCELR8 TECHNOLOGY CORP NEW,430420,84184
20031009,ACCELR8 TECHNOLOGY CORP,430420,84184
19921223,ACCEPTANCE INSURANCE COS INC,430810,58077
19970411,ACCELGRAPHICS INC,00430P10,84718
20040514,ACCELRYS INC,00430U10,82734
19961016,ACCESS SOLUTIONS INTL INC,431710,84053
19961021,ACCESS ANYTIME BANCORP,00431F10,10650
19920221,ACCESS HEALTH MARKETING INC,00431L10,77352
19950329,ACCESS HEALTH INC,00431L10,77352
20000330,ACCESS PHARMACEUTICALS INC,00431M20,87656
20060605,ACCESS PHARMACEUTICALS INC,00431M30,87656
19880622,ACCLAIM ENTERTAINMENT INC,432510,10114
19890726,ACCLAIM ENTERTAINMENT INC,432520,10114
20040719,ACCESS NATIONAL CORP,433710,90274
20070206,ACCESS PLANS USA INC,00433N10,87625
20120724,ACCESS MIDSTREAM PARTNERS L P,00434L10,11003
20030214,ACCREDITED HOME LENDERS HLDG CO,00437P10,89684
19990416,ACCREDO HEALTH INC,00437V10,86813
19960102,ACCUMED INTERNATIONAL INC,438310,79027
19980521,ACCUMED INTERNATIONAL INC,438330,79027
20050426,ACCURIDE CORP,439810,90643
19940816,ACCUSTAFF INC,440110,80797
19921202,ACE CASH EXPRESS INC,440310,78112
19960814,ACE COMM CORP,440410,83838
20070725,A C I WORLDWIDE INC,449810,81282
19880421,ACKERLEY COMMUNICATIONS INC,452710,10123
19970221,ACKERLEY GROUP INC,452710,10123
19721214,ACMAT CORP,461610,10664
19870831,ACMAT CORP,461620,11647
20000321,ACLARA BIOSCIENCES INC,00461P10,87748
19681028,ACME CLEVELAND CORP,462610,10057
19911001,ACME CLEVELAND CORP NEW,462610,10057
19721214,ACME ELECTRIC CORP,464410,63837
20061013,ACME PACKET INC,476410,91493
19961104,ACNIELSEN CORP,483310,84013
20060210,ACORDA THERAPEUTICS INC,00484M10,91086
19970624,ACORN PRODUCTS INC,485710,84998
20021121,ACORN PRODUCTS INC,485720,84998
19881003,ACORN VENTURE CAPITAL CORP,490710,12110
19871208,ACTION STAFFING INC,491410,11816
19880601,ACTION PRODUCTS INTL INC,492010,85084
19901214,ACQUA GROUP INC,492610,76541
19921021,ACORDIA INC,492910,78010
19931022,ACTIVISION INC NEW,493020,79678
19930427,ACTION PERFORMANCE COS INC,493310,79069
19930803,ACTEL CORP,493410,79467
19930728,ACTAVA GROUP INC,493510,25961
19931027,ACRES GAMING INC,493610,79675
19931214,ACTIVE VOICE CORPORATION,493810,79933
20001109,ACTERNA CORP,00503U10,88783
19990813,ACTIVE SOFTWARE INC,5.04E+12,87155
20000808,ACTIVE POWER INC,00504W10,88497
20121224,ACTIVE POWER INC,00504W30,88497
20000503,ACTIVEWORLDS COM INC,00504X20,88244
20010730,ACTIVEWORLDS CORP,00504X20,88244
20110525,ACTIVE NETWORK INC,00506D10,12719
20060310,ACTIVIDENTITY CORP,00506P10,89678
20130124,ACTAVIS INC,00507K10,78916
19940517,ACUITY IMAGING INC,508110,80500
19980717,ACTUATE SOFTWARE CORP,00508B10,86236
19990617,ACTUATE CORP,00508B10,86236
19860916,ACUSON CORP,511310,75469
19880721,ACXIOM CORP,512510,20117
19791205,ADAC LABORATORIES INC,531310,10752
19930315,ADAC LABORATORIES INC,531320,10752
19781003,ADAGE INC,532010,10779
19910617,ADAGE INC,532020,10779
20090422,ADAMIS PHARMACEUTICALS CORP,00547W10,82163
20131213,ADAMIS PHARMACEUTICALS CORP,00547W20,82163
19980710,ADAMS GOLF INC,622810,86237
20080219,ADAMS GOLF INC,622820,86237
20050721,ADAMS RESPIRATORY THRPTCS INC,00635P10,90800
19990429,ADAPTIVE BROADBAND CORP,00650M10,20723
19931104,ADAPTIVE SOLUTIONS INC,00650P10,79787
19980508,ADAPTIVE SOLUTIONS INC,00650P30,79787
19991105,ADATOM COM INC,00650Q10,85830
20061221,ADCARE HEALTH SYSTEMS INC,00650W30,91627
19850429,ADCOR ELECTRONICS INC,651110,85105
19870624,ADDINGTON RESOURCES INC,651610,11452
19860611,ADAPTEC INC,00651F10,10353
19960906,ADECCO S A,675410,81195
19991027,ADELPHIA BUSINESS SOLUTIONS INC,684710,86070
19860812,ADELPHIA COMMUNICATIONS CORP,684810,10564
19951215,ADEPT TECHNOLOGY INC,685410,82664
20050225,ADEPT TECHNOLOGY INC,685420,82664
