ff30,sic1,sic2
1,0100,0199
1,0200,0299
1,0700,0799
1,0910,0919
1,2000,2009
1,2010,2019
1,2020,2029
1,2030,2039
1,2040,2046
1,2048,2048
1,2050,2059
1,2060,2063
1,2064,2068
1,2070,2079
1,2086,2086
1,2087,2087
1,2090,2092
1,2095,2095
1,2096,2096
1,2097,2097
1,2098,2099
2,2080,2080
2,2082,2082
2,2083,2083
2,2084,2084
2,2085,2085
3,2100,2199
4,0920,0999
4,3650,3651
4,3652,3652
4,3732,3732
4,3930,3931
4,3940,3949
4,7800,7829
4,7830,7833
4,7840,7841
4,7900,7900
4,7910,7911
4,7920,7929
4,7930,7933
4,7940,7949
4,7980,7980
4,7990,7999
5,2700,2709
5,2710,2719
5,2720,2729
5,2730,2739
5,2740,2749
5,2750,2759
5,2770,2771
5,2780,2789
5,2790,2799
5,3993,3993
6,2047,2047
6,2391,2392
6,2510,2519
6,2590,2599
6,2840,2843
6,2844,2844
6,3160,3161
6,3170,3171
6,3172,3172
6,3190,3199
6,3229,3229
6,3260,3260
6,3262,3263
6,3269,3269
6,3230,3231
6,3630,3639
6,3750,3751
6,3800,3800
6,3860,3861
6,3870,3873
6,3910,3911
6,3914,3914
6,3915,3915
6,3960,3962
6,3991,3991
6,3995,3995
7,2300,2390
7,3020,3021
7,3100,3111
7,3130,3131
7,3140,3149
7,3150,3151
7,3963,3965
8,2830,2830
8,2831,2831
8,2833,2833
8,2834,2834
8,2835,2835
8,2836,2836
8,3693,3693
8,3840,3849
8,3850,3851
8,8000,8099
9,2800,2809
9,2810,2819
9,2820,2829
9,2850,2859
9,2860,2869
9,2870,2879
9,2890,2899
10,2200,2269
10,2270,2279
10,2280,2284
10,2290,2295
10,2297,2297
10,2298,2298
10,2299,2299
10,2393,2395
10,2397,2399
11,0800,0899
11,1500,1511
11,1520,1529
11,1530,1539
11,1540,1549
11,1600,1699
11,1700,1799
11,2400,2439
11,2450,2459
11,2490,2499
11,2660,2661
11,2950,2952
11,3200,3200
11,3210,3211
11,3240,3241
11,3250,3259
11,3261,3261
11,3264,3264
11,3270,3275
11,3280,3281
11,3290,3293
11,3295,3299
11,3420,3429
11,3430,3433
11,3440,3441
11,3442,3442
11,3446,3446
11,3448,3448
11,3449,3449
11,3450,3451
11,3452,3452
11,3490,3499
11,3996,3996
12,3300,3300
12,3310,3317
12,3320,3325
12,3330,3339
12,3340,3341
12,3350,3357
12,3360,3369
12,3370,3379
12,3390,3399
13,3400,3400
13,3443,3443
13,3444,3444
13,3460,3469
13,3470,3479
13,3510,3519
13,3520,3529
13,3530,3530
13,3531,3531
13,3532,3532
13,3533,3533
13,3534,3534
13,3535,3535
13,3536,3536
13,3538,3538
13,3540,3549
13,3550,3559
13,3560,3569
13,3580,3580
13,3581,3581
13,3582,3582
13,3585,3585
13,3586,3586
13,3589,3589
13,3590,3599
14,3600,3600
14,3610,3613
14,3620,3621
14,3623,3629
14,3640,3644
14,3645,3645
14,3646,3646
14,3648,3649
14,3660,3660
14,3690,3690
14,3691,3692
14,3699,3699
15,2296,2296
15,2396,2396
15,3010,3011
15,3537,3537
15,3647,3647
15,3694,3694
15,3700,3700
15,3710,3710
15,3711,3711
15,3713,3713
15,3714,3714
15,3715,3715
15,3716,3716
15,3792,3792
15,3790,3791
15,3799,3799
16,3720,3720
