,EV to EBIT,Acquiror Cash LTM,Target Volatility 30,Target Vol jump 30,Target Volatility 14,Target Vol jump 14,Target Volatility 30 Shift,Target Vol jump 30 Shift,Target Volatility 14 Shift,Target Vol jump 14 Shift,Acquiror Volatility 30,Acquiror Vol jump 30,Acquiror Volatility 14,Acquiror Vol jump 14,Acquiror Volatility 30 Shift,Acquiror Vol jump 30 Shift,Acquiror Volatility 14 Shift,Acquiror Vol jump 14 Shift,cap,cap_diff,Offer EP,Past EP,Offer BP,Past BP,Offer/Current Price Diff,price premium,price jump,rolling_price_premium,price_premium_diff,rolling_mean_long,rolling_mean_medium,rolling_mean_short,Democrat,First Time,Experienced,Frequent,Investor,Investor Group,Shareholders,nation diff,industry diff,fama_ind,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,year,new_Status
0,104.309,,,,,,,,,,,,,,,,,,44.2308,,0.07474429583005507,0.10178571428571428,0.6189352216102806,0.8428571428571429,-0.24500052452137433,0.3627857142857144,0.02778571428571419,,,,,,-1,-1,1,-1,-1,-1,-1,1,-1,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1990,-1
1,39.889,,,,,,,,,,,,,,,,,,80.475,,0.03586206896551724,0.049523809523809526,0.6344827586206896,0.8761904761904761,-0.10244827586206895,0.38195238095238093,0.23909523809523814,,,,,,-1,-1,-1,-1,-1,1,-1,-1,-1,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1990,-1
2,40.139,,,,,,,,,,,,,,,,,,2100.2400000000002,,0.06972222222222221,0.10680851063829787,0.6694444444444445,1.025531914893617,-0.34275,0.5329148936170213,0.006319148936170138,,,,,,-1,-1,1,-1,-1,-1,-1,1,1,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1990,-1
3,9.891,8.19,,,,,,,,,,,,,,,,,86.975,,0.04081632653061224,0.05194805194805195,0.4244897959183674,0.5402597402597403,-0.09083673469387754,0.2737272727272727,0.1568441558441559,,,,,,-1,1,-1,-1,-1,-1,-1,1,-1,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1990,-1
4,53.025,,,,,,,,,,,,,,,,,,22.4,,0.174375,0.28615384615384615,1.05,1.7230769230769232,-0.40525,0.642025641025641,-0.02464102564102566,,,,,,-1,1,-1,-1,-1,-1,-1,1,-1,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1990,-1
5,,,,,,,,,,,,,,,,,,,20.5,,-0.03219512195121951,-0.04672235593940252,1.1414634146341462,1.6565198923969984,-0.1697317073170732,0.4522246920571996,0.2044546226815801,,,,,,-1,1,-1,-1,-1,-1,-1,1,1,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1990,-1
6,5.301,,,,,,,,,,,,,,,,,,877.23,,0.16345555555555555,0.20060454545454542,0.42962962962962964,0.5272727272727272,-0.1517777777777778,0.2282727272727273,0.040772727272727294,,,,,,-1,-1,-1,-1,-1,1,-1,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1990,1
7,,1691.39,,,,,,,,,,,,,,,,,412.93,,-0.10235294117647059,-0.16975609756097562,0.39999999999999997,0.6634146341463415,-0.27841176470588236,0.6595365853658536,0.19612195121951215,,,,,,-1,1,-1,-1,-1,-1,-1,-1,-1,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1990,1
8,68.222,,,,,,,,,,,,,,,,,,114.345,,0.10303030303030303,0.11333333333333333,0.7333333333333333,0.8066666666666666,-0.05960606060606055,0.10100000000000009,0.03433333333333344,,,,,,-1,1,-1,-1,-1,-1,-1,1,1,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1990,1
9,6.839,,,,,,,,,,,,,,,,,,43.0,,0.095,0.12258064516129032,0.71,0.9161290322580645,-0.049000000000000044,0.29132258064516126,0.22680645161290325,,,,,,-1,1,-1,-1,-1,-1,-1,1,1,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1990,1
10,37.24,4650.0,,,,,,,,,,,,,,,,,5234.58,,0.017115384615384616,0.027106598984771572,0.08205128205128205,0.1299492385786802,-0.19451282051282048,0.5847563451776651,0.2751116751269035,,,,,,-1,-1,1,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1990,1
11,388.295,,,,,,,,,,,,,,,,,,28.3821,,0.07808090310442144,0.10539682539682539,0.8372530573847601,1.1301587301587301,-0.12882126058325505,0.35084126984126984,0.17560317460317465,,,,,,-1,-1,-1,1,-1,-1,-1,1,-1,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1990,1
12,5.164,1926.99,,,,,,,,,,,,,,,,,175.95,,0.10882352941176471,0.16086956521739132,0.6705882352941177,0.991304347826087,-0.07252941176470584,0.4792608695652173,0.37056521739130444,,,,,,-1,1,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1990,1
13,6.894,,,,,,,,,,,,,,,,,,509.58000000000004,,-1.7216666666666667,-1.1018666666666668,0.2833333333333333,0.18133333333333332,0.41766666666666674,-0.359,-0.09233333333333338,,,,,,-1,1,-1,-1,-1,-1,-1,1,-1,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1990,-1
14,12.578,,,,,,,,,,,,,,,,,,263.11,,0.06385542168674699,0.08688524590163935,0.6024096385542169,0.819672131147541,-0.032132530120481895,0.361655737704918,0.31657377049180335,,,,,,-1,-1,-1,-1,-1,1,-1,1,-1,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1990,1
15,55.864,,,,,,,,,,,,,,,,,,19.549999999999997,285.394,0.06823529411764706,0.10545454545454545,0.8764705882352941,1.3545454545454545,-0.3519411764705882,0.5464545454545454,0.0010000000000000009,,,,,,-1,-1,1,-1,-1,-1,-1,1,-1,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1990,1
16,575.979,,,,,,,,,,,,,,,,,,10.809999999999999,,-0.07446808510638299,-0.09333333333333334,0.5851063829787235,0.7333333333333334,-0.06814893617021267,0.2543333333333332,0.16766666666666674,,,,,,-1,1,-1,-1,-1,-1,-1,-1,1,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1990,1
17,54.184,8190.0,,,,,,,,,,,,,,,,,3850.56,,0.014166666666666668,0.023448275862068966,0.15555555555555556,0.2574712643678161,-0.21775,0.6561724137931034,0.2941034482758621,,,,,,-1,-1,1,-1,-1,-1,-1,-1,1,8,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1990,1
18,,,,,,,,,,,,,,,,,,,15.1,,,,0.4,0.6666666666666666,-0.274,0.6676666666666667,0.20933333333333326,,,,,,-1,-1,-1,-1,-1,1,-1,1,-1,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1990,-1
19,95.987,,,,,,,,,,,,,,,,,,69.3,,0.050505050505050504,0.07352941176470588,1.183838383838384,1.723529411764706,-0.18586868686868685,0.4568823529411764,0.18482352941176472,,,,,,-1,1,-1,-1,-1,-1,-1,1,-1,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1990,-1
20,,64.16,,,,,,,,,,,,,,,,,52.0,,0.0256,0.034129692832764506,1.104,1.4718430034129695,-0.279,0.33419112627986347,-0.03910238907849828,,,,,,-1,-1,1,-1,-1,-1,-1,1,-1,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1990,-1
21,13.961,108.7,,,,,,,,,,,,,,,,,27.754999999999995,,-0.015384615384615385,-0.02,0.8923076923076922,1.16,-0.037461538461538435,0.30100000000000005,0.251,,,,,,-1,-1,1,-1,-1,-1,-1,1,-1,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1990,1
22,,,,,,,,,,,,,,,,,,,29.22,,,,2.854209445585216,3.0054054054054054,-0.023640657084188943,0.0539729729729731,0.028027027027026974,,,,,,-1,1,-1,-1,-1,-1,-1,1,1,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1990,-1
23,100.822,,,,,,,,,,,,,,,,,,46.4,21.916999999999994,0.07125000000000001,0.0890625,0.8425,1.053125,-0.170875,0.251,0.03615625,,,,,,-1,1,-1,-1,-1,-1,-1,1,1,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1990,-1
24,54.559,,,,,,,,,,,,,,,,,,245.10660000000001,,,,,,-0.033175334323922834,0.03638461538461535,0.0010000000000000009,,,,,,-1,-1,-1,-1,-1,-1,1,1,-1,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1990,1
25,,,,,,,,,,,,,,,,,,,21.385,,-0.04307692307692308,-0.064,0.5538461538461539,0.8228571428571428,-0.1913076923076923,0.48671428571428577,0.20099999999999996,,,,,,-1,1,-1,-1,-1,-1,-1,1,-1,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1990,1
26,92.282,,,,,,,,,,,,,,,,,,148.95,,0.03288888888888889,0.051034482758620686,0.9600000000000001,1.4896551724137932,-0.18233333333333335,0.5527241379310345,0.26824137931034475,,,,,,-1,-1,-1,1,-1,-1,-1,1,1,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1990,-1
27,11.098,,,,,,,,,,,,,,,,,,43.156800000000004,,0.07207207207207207,0.08677966101694916,0.36036036036036034,0.4338983050847458,-0.05586936936936948,0.2050677966101696,0.13659322033898313,,,,,,-1,1,-1,-1,-1,-1,-1,-1,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1990,1
28,9.08,4.84,,,,,,,,,,,,,,,,,132.3,,0.07043555555555556,0.09604848484848484,0.6177777777777778,0.8424242424242424,-0.015666666666666718,0.36463636363636354,0.34190909090909083,,,,,,-1,1,-1,-1,-1,-1,-1,1,1,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1990,-1
29,,4.75,,,,,,,,,,,,,,,,,88.21379999999999,249.19920000000002,-0.2202852614896989,-0.2471111111111111,0.36450079239302696,0.40888888888888886,-0.10755784469096663,0.12277777777777776,0.0010000000000000009,,,,,,-1,-1,-1,1,-1,-1,-1,1,-1,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1990,1
30,59.292,870.9,,,,,,,,,,,,,,,,,704.82,,0.018235294117647058,0.022962962962962963,0.22941176470588234,0.28888888888888886,-0.20488235294117652,0.2602592592592593,0.0010000000000000009,,,,,0.5333333333333333,-1,1,-1,-1,-1,-1,-1,-1,1,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1990,1
31,,,,,,,,,,,,,,,,,,,14.361600000000001,,0.026988636363636364,0.042222222222222223,0.8948863636363636,1.4,-0.09346022727272729,0.5654444444444445,0.41766666666666674,,,,,0.5666666666666667,-1,1,-1,-1,-1,-1,-1,1,-1,7,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1990,1
32,54.076,,,,,,,,,,,,,,,,,,73.65,,-0.08666666666666667,-0.1368421052631579,0.56,0.8842105263157896,-0.23233333333333328,0.5799473684210527,0.21152631578947367,,,,,0.6,-1,1,-1,-1,-1,-1,-1,1,1,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1990,-1
33,6.081,37.41,,,,,,,,,,,,,,,,,99.887,,0.10041346721795628,0.11724137931034483,0.6556408741878322,0.7655172413793103,-0.09084878913171879,0.16858620689655168,0.06134482758620685,,,,,0.6,-1,-1,1,-1,-1,-1,-1,1,-1,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1990,1
34,77.673,,,,,,,,,,,,,,,,,,,,0.055058823529411764,0.07735537190082645,0.8611764705882353,1.209917355371901,-0.15194117647058825,0.4059586776859504,0.1910826446280992,,,,,0.6333333333333333,-1,-1,1,-1,-1,-1,-1,1,-1,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1990,1
35,,7452.0,,,,,,,,,,,,,,,,,1140.489,,-0.5860465116279069,-0.5815384615384616,1.1550387596899225,1.146153846153846,-0.0784573643410853,-0.006692307692307664,-0.08553846153846156,,,,,0.6666666666666666,-1,-1,1,-1,-1,-1,-1,1,-1,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1990,1
36,15.277,29.08,,,,,,,,,,,,,,,,,458.49289999999996,1763.0021,0.039316639363444886,0.05508196721311475,0.16381933068102036,0.22950819672131148,-0.10676971682658543,0.40198360655737686,0.251,,,,,0.7,-1,1,-1,-1,-1,-1,-1,1,-1,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1990,1
37,31.675,6.63,,,,,,,,,,,,,,,,,1095.855,-856.867,-0.035813953488372095,-0.04562962962962963,0.2930232558139535,0.37333333333333335,-0.15597674418604646,0.27507407407407414,0.07507407407407418,,,,,0.7,-1,1,-1,-1,-1,-1,-1,1,1,4,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1990,1
38,67.308,,,,,,,,,,,,,,,,,,34.31,769.767,0.05446808510638298,0.1024,0.676595744680851,1.272,-0.26495744680851063,0.8809999999999999,0.3809999999999999,,,,,0.7,-1,-1,1,-1,-1,-1,-1,1,-1,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1990,1
39,,,,,,,,,,,,,,,,,,,4.68,,-0.33,-0.28285714285714286,0.6333333333333333,0.5428571428571428,0.04266666666666674,-0.1418571428571429,-0.1061428571428571,,,,,0.7,-1,1,-1,-1,-1,-1,-1,1,-1,5,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1990,1
40,7.02,,,,,,,,,,,,,,,,,,20.125,,0.12,0.1725,0.6260869565217392,0.9,-0.17291304347826086,0.4385,0.1885,,,,,0.7,-1,-1,-1,-1,1,-1,-1,-1,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1990,1
41,15.138,336.5,,,,,,,,,,,,,,,,,242.35,,0.04027027027027027,0.07011764705882353,0.4756756756756757,0.8282352941176472,-0.059810810810810855,0.7421764705882353,0.6362941176470588,,,,,0.7,-1,1,-1,-1,-1,-1,-1,-1,1,8,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1990,1
42,11.407,2.75,,,,,,,,,,,,,,,,,516.0694000000001,-57.4944000000001,0.0795978215333054,0.09382716049382715,0.6702974444909928,0.7901234567901234,-0.09828780896522837,0.1797654320987655,0.06272839506172845,,,,,0.7,-1,-1,1,-1,-1,-1,-1,1,1,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1990,1
43,11.696,,,,,,,,,,,,,,,,,,1486.5,,0.05466666666666666,0.0703862660944206,0.3973333333333333,0.5115879828326181,-0.0023333333333332984,0.28855364806866957,0.28426180257510725,,,,,0.7,-1,-1,1,-1,-1,-1,-1,-1,-1,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1990,-1
